1,3,2.2,200401010101
2,6,10.8,200401010101
3,1,42.6,200401010101
4,4,9.7,200401010101
5,8,2.0,200401010101
6,2,115.4,200401010101
7,7,99.5,200401010101
8,5,17.5,200401010101
1,11,7.4,200401010102
2,6,2.2,200401010102
3,5,3.7,200401010102
4,2,7.9,200401010102
5,8,99.6,200401010102
6,12,10.0,200401010102
7,1,46.9,200401010102
8,4,297.7,200401010102
9,10,21.4,200401010102
10,9,263.1,200401010102
11,7,134.6,200401010102
中,3,11.3,200401010102
1,1,1.2,200401010103
2,10,17.1,200401010103
3,4,7.4,200401010103
4,8,90.3,200401010103
5,2,38.9,200401010103
6,9,69.0,200401010103
7,11,129.5,200401010103
8,3,51.1,200401010103
9,12,7.5,200401010103
10,6,166.0,200401010103
11,7,96.5,200401010103
12,5,25.5,200401010103
1,3,2.2,200401010104
2,5,19.6,200401010104
3,12,3.9,200401010104
4,1,46.6,200401010104
5,2,110.8,200401010104
6,8,210.9,200401010104
7,11,13.0,200401010104
8,7,5.1,200401010104
9,10,29.7,200401010104
10,9,19.8,200401010104
11,13,28.5,200401010104
12,6,216.5,200401010104
13,4,12.8,200401010104
1,3,8.2,200401010105
2,5,1.5,200401010105
3,1,35.9,200401010105
4,4,13.6,200401010105
5,7,30.1,200401010105
6,12,282.6,200401010105
7,6,19.5,200401010105
8,13,4.9,200401010105
9,15,17.7,200401010105
10,2,56.9,200401010105
11,10,143.0,200401010105
12,9,213.7,200401010105
13,16,614.6,200401010105
14,11,560.1,200401010105
15,8,60.7,200401010105
中,14,599.1,200401010105
1,1,9.1,200401010106
2,6,1.9,200401010106
3,13,9.9,200401010106
4,11,30.1,200401010106
5,9,5.3,200401010106
6,10,27.5,200401010106
7,8,20.3,200401010106
8,3,49.9,200401010106
9,4,33.7,200401010106
10,12,26.4,200401010106
11,7,107.8,200401010106
12,2,10.5,200401010106
13,5,82.2,200401010106
1,6,7.5,200401010107
2,10,30.2,200401010107
3,11,51.0,200401010107
4,4,2.0,200401010107
5,5,4.3,200401010107
6,12,17.1,200401010107
7,9,52.6,200401010107
8,2,10.0,200401010107
9,3,251.5,200401010107
10,7,69.9,200401010107
11,8,16.0,200401010107
中,1,12.2,200401010107
1,2,3.2,200401010108
2,4,4.3,200401010108
3,10,37.0,200401010108
4,7,125.1,200401010108
5,12,8.6,200401010108
6,1,6.1,200401010108
7,11,11.5,200401010108
8,8,6.5,200401010108
9,5,90.5,200401010108
10,13,15.1,200401010108
11,9,75.8,200401010108
12,3,16.3,200401010108
13,6,58.5,200401010108
1,7,4.8,200401010109
2,9,7.5,200401010109
3,5,9.7,200401010109
4,2,5.6,200401010109
5,4,57.5,200401010109
6,13,8.3,200401010109
7,1,205.6,200401010109
8,14,4.1,200401010109
9,10,20.1,200401010109
10,8,65.0,200401010109
11,3,27.1,200401010109
12,15,369.9,200401010109
13,12,10.4,200401010109
14,11,19.7,200401010109
15,6,216.7,200401010109
1,8,5.6,200401010110
2,11,11.9,200401010110
3,3,3.0,200401010110
4,12,7.2,200401010110
5,10,51.7,200401010110
6,14,5.3,200401010110
7,5,11.7,200401010110
8,13,129.9,200401010110
9,6,448.2,200401010110
10,2,10.6,200401010110
11,9,20.7,200401010110
12,7,257.7,200401010110
13,1,14.1,200401010110
14,4,58.5,200401010110
1,10,3.3,200401010111
2,6,34.1,200401010111
3,9,8.0,200401010111
4,5,1.7,200401010111
5,4,33.7,200401010111
6,13,25.6,200401010111
7,11,36.8,200401010111
8,7,157.4,200401010111
9,8,22.6,200401010111
10,12,25.6,200401010111
11,3,43.9,200401010111
12,1,316.0,200401010111
13,2,186.6,200401010111
1,6,15.2,200401010112
2,4,5.0,200401010112
3,2,5.4,200401010112
4,5,1.9,200401010112
5,7,5.5,200401010112
6,3,22.5,200401010112
7,8,123.2,200401010112
8,9,35.4,200401010112
9,1,83.4,200401010112
10,11,87.6,200401010112
11,10,157.8,200401010112
1,4,4.6,200401010201
2,12,1.8,200401010201
3,2,5.7,200401010201
4,11,19.9,200401010201
5,1,59.4,200401010201
6,7,61.0,200401010201
7,8,249.6,200401010201
8,9,6.9,200401010201
9,6,17.0,200401010201
10,5,133.0,200401010201
11,3,137.5,200401010201
12,10,82.0,200401010201
1,8,5.8,200401010202
2,12,10.7,200401010202
3,4,2.1,200401010202
4,2,50.1,200401010202
5,10,54.2,200401010202
6,13,19.0,200401010202
7,7,2.8,200401010202
8,6,391.6,200401010202
9,11,115.4,200401010202
10,3,32.7,200401010202
11,1,29.6,200401010202
12,9,578.7,200401010202
13,5,745.6,200401010202
1,13,5.5,200401010203
2,8,7.1,200401010203
3,5,9.2,200401010203
4,9,145.8,200401010203
5,15,4.9,200401010203
6,11,14.7,200401010203
7,4,27.2,200401010203
8,6,130.9,200401010203
9,1,9.7,200401010203
10,16,3.0,200401010203
11,2,70.7,200401010203
12,3,64.0,200401010203
13,14,134.5,200401010203
14,7,184.8,200401010203
15,12,37.2,200401010203
16,10,84.0,200401010203
1,11,5.9,200401010204
2,12,33.9,200401010204
3,8,9.3,200401010204
4,2,2.0,200401010204
5,5,3.8,200401010204
6,4,92.2,200401010204
7,9,30.1,200401010204
8,7,200.0,200401010204
9,1,66.7,200401010204
10,3,12.4,200401010204
11,6,36.1,200401010204
12,10,58.6,200401010204
1,15,3.0,200401010205
2,5,11.9,200401010205
3,3,2.4,200401010205
4,2,101.5,200401010205
5,6,19.2,200401010205
6,11,47.6,200401010205
7,7,23.4,200401010205
8,8,9.6,200401010205
9,16,127.8,200401010205
10,9,450.1,200401010205
11,12,6.1,200401010205
12,4,318.9,200401010205
13,1,65.1,200401010205
14,13,52.2,200401010205
15,14,155.2,200401010205
16,10,275.3,200401010205
1,2,2.0,200401010206
2,11,4.5,200401010206
3,3,12.8,200401010206
4,12,83.9,200401010206
5,10,96.8,200401010206
6,7,10.8,200401010206
7,6,30.8,200401010206
8,5,32.5,200401010206
9,8,238.7,200401010206
10,4,48.2,200401010206
11,1,4.4,200401010206
12,9,19.4,200401010206
1,2,9.8,200401010207
2,4,9.6,200401010207
3,12,49.2,200401010207
4,13,8.3,200401010207
5,10,31.8,200401010207
6,1,36.7,200401010207
7,6,9.2,200401010207
8,14,4.9,200401010207
9,8,15.4,200401010207
10,5,2.8,200401010207
11,9,90.1,200401010207
12,7,20.2,200401010207
13,11,25.1,200401010207
14,15,142.5,200401010207
15,16,48.3,200401010207
16,3,284.9,200401010207
1,11,7.2,200401010208
2,13,2.7,200401010208
3,1,2.7,200401010208
4,10,59.3,200401010208
5,5,52.9,200401010208
6,12,62.2,200401010208
7,3,30.3,200401010208
8,14,10.6,200401010208
9,9,49.7,200401010208
10,4,136.4,200401010208
11,7,8.4,200401010208
12,6,194.1,200401010208
13,8,256.1,200401010208
中,2,14.9,200401010208
1,7,8.8,200401010209
2,1,8.9,200401010209
3,9,6.7,200401010209
4,5,31.6,200401010209
5,2,13.1,200401010209
6,13,5.4,200401010209
7,3,3.8,200401010209
8,4,6.8,200401010209
9,8,214.6,200401010209
10,10,10.3,200401010209
11,6,29.5,200401010209
12,11,42.8,200401010209
13,12,32.0,200401010209
1,5,5.3,200401010210
2,9,10.5,200401010210
3,10,3.4,200401010210
4,6,82.2,200401010210
5,2,4.4,200401010210
6,11,10.1,200401010210
7,8,13.1,200401010210
8,12,15.9,200401010210
9,13,19.4,200401010210
10,1,86.0,200401010210
11,4,44.3,200401010210
12,7,8.5,200401010210
13,3,225.2,200401010210
1,2,30.7,200401010211
2,1,4.7,200401010211
3,9,16.3,200401010211
4,8,7.3,200401010211
5,5,2.6,200401010211
6,7,11.9,200401010211
7,11,11.7,200401010211
8,3,33.0,200401010211
9,10,9.0,200401010211
10,4,8.1,200401010211
11,6,105.5,200401010211
1,1,7.7,200401010212
2,3,45.3,200401010212
3,12,16.6,200401010212
4,5,8.1,200401010212
5,8,13.1,200401010212
6,2,195.2,200401010212
7,6,5.8,200401010212
8,9,4.0,200401010212
9,11,3.8,200401010212
